,X,Y
10666552,119.78854,-16.091766
10666559,-44.903885,-48.78154
10666562,-4.5727897,-21.527788
10666563,-24.618547,-125.00851
10669519,-66.96993,-138.32083
10677038,-114.52815,-94.910416
10677559,132.50555,31.221985
10678698,-21.237585,-62.12425
10679185,134.47266,-67.57156
10679187,-148.00977,51.400463
10680763,84.70789,-58.467384
10680764,-58.1457,-117.768936
10680766,-153.62294,44.52256
10683393,-114.25943,5.838986
10683827,39.373287,119.160904
10683855,4.490271,1.100119
10684898,-14.308983,-121.513016
10686115,11.620941,-14.364245
10686176,80.22321,3.5529594
10686183,50.423466,-80.40134
10689056,-74.519966,-77.255
10690992,136.42998,-67.84655
10692599,61.400826,-133.00748
10694461,138.6355,-53.115562
10694462,73.980576,16.228025
10694463,-99.05923,-84.65711
10700262,-99.20103,-42.95159
10700263,51.50549,-11.499075
10700305,73.867676,-153.16237
10706432,137.84033,-16.682516
10712490,79.512245,-131.47095
10712498,64.2208,-128.94633
10716244,-30.127447,-129.29608
10717412,-9.922463,-85.064415
10718324,-125.07146,-101.837
10725191,-117.07276,-125.85621
10729346,-19.777563,-145.21663
10729350,-40.02465,-112.167435
10730646,42.297363,-32.270393
10731771,-36.327988,-104.21761
10734009,92.138054,-126.058014
10734010,58.057407,-18.098606
10739412,-97.89882,-4.260808
10751455,-76.22749,-17.170135
10762158,83.58977,-2.298773
10769312,-89.04536,-9.938501
10769313,-39.76231,51.056973
10769317,-140.60905,-93.959145
10771411,-125.11423,6.031924
10771412,-50.959,-67.76067
10771415,-159.83058,-84.465904
10774738,-11.141072,-79.967766
10775540,67.87049,-52.412354
10775709,72.12966,-49.862125
10792453,59.220314,125.59029
10805701,-4.081273,-117.11394
10805707,-130.92853,-3.6584756
10806026,-44.282284,-37.427788
10806029,-14.647492,-36.55305
10806033,132.0241,-64.34859
10808134,42.54082,-113.60994
10817611,-33.6871,-113.520065
10834847,-77.138466,-91.96293
10838149,-15.718966,-70.221634
10841380,30.017967,-18.557228
10843515,-53.898434,-68.67607
10846167,81.85167,27.974049
10847597,116.90778,-61.16496
10847601,28.984476,-147.67471
10848570,53.29632,-138.26549
10853949,142.7482,-64.985016
10858628,135.85213,20.762835
10859133,-19.23313,-22.21671
10859136,-65.779884,-42.646687
10861020,52.369743,20.943123
10863028,61.057446,-91.93214
10864232,50.79032,16.933943
10865104,-41.15428,-66.38814
10865105,-89.93131,-19.504814
10865107,9.432388,112.54077
10867223,-91.85478,80.10793
10869575,159.7369,13.354889
10869585,60.09186,125.5862
10875899,21.727686,153.98352
10876085,-55.067204,-134.92207
10884059,159.69308,-46.339046
10896168,0.16628198,58.398994
10899227,129.65498,-61.534813
10903207,70.86617,37.918434
10903406,-0.93561554,-15.02318
10906316,71.71944,-88.484184
10906317,58.28897,-17.89595
10908189,30.799578,-162.91853
10908192,33.029858,27.9132
10908201,-37.97174,-5.4520435
10912589,-113.85946,-110.69313
10912590,-13.618799,-151.44139
10913505,-145.22693,57.986023
