PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
27894900,fMRI,Functional MRI,18,28,21.9,,11,6,17
22922525,fMRI,Functional MRI,,,33.2,6.1,12,15,27
17336346,fMRI,Functional MRI,,,25.7,10.15,,,20
19433790,fMRI,Functional MRI,19,29,22,,10,5,15
12433382,fMRI,Functional MRI,20,36,,,6,9,15
24016745,fMRI,Functional MRI,,,12.9,,18,41,59
19780041,PET,PET,,,26,3.9,0,10,10
20011541,fMRI & TMS,Functional MRI,,,,,8,7,15
28253076,MRI (VBM),Structural MRI,,,22.61,2.23,41,35,76
16476414,fMRI,Functional MRI,16,29,22.8,3.8,,,14
21601433,fMRI,Functional MRI,,,30.7,7.43,13,17,30
23056309,fMRI,Functional MRI,18,50,30,7.25,27,20,47
21932261,fMRI,Functional MRI,21,55,,,11,17,28
19410366,fMRI,Functional MRI,24,55,38.5,8.1,99,0,99
24936406,fMRI,Functional MRI,8.8,11.2,9.75,0.575,21,23,44
23313581,fMRI,Functional MRI,19,39,26.1,,0,42,42
19199409,fMRI,Functional MRI,18,28,21.8,,10,7,17
25214317,fMRI,Functional MRI,,,40.75,7.45,0,38,38
24124475,fMRI,Functional MRI,19,24,22.5,,14,11,25
12135962,fMRI,Functional MRI,19,37,26,5,0,12,12
19505993,fMRI,Functional MRI,22,35,24.9,3.7,10,10,20
18661505,fMRI,Functional MRI,,,26.2,3.8,13,14,27
27774695,fMRI,Functional MRI,18,22,21.3,1.9,12,8,20
9023428,PET,PET,19,25,22.3,2.24,6,5,11
14980580,fMRI,Functional MRI,18,30,22.7,,6,6,12
25792694,fMRI,Functional MRI,14,33,19.5,,6,51,57
18717711,fMRI,Functional MRI,18,62,,,27,27,54
28176436,MRI (DKI),Structural MRI,,,73.97,5.53,30,24,54
19538748,fMRI,Functional MRI,,,33.905,5.44,16,8,24
26248899,fMRI,Functional MRI,19,30,22.6,2.7,0,20,20
23395850,EEG & MEG,Other,,,45.2,4.6,46,33,79
16092132,PET,PET,18,35,,,0,11,11
19539034,fMRI,Functional MRI,50,65,58.1,4.3,20,9,29
22704853,fMRI,Functional MRI,,,39,9.2,20,0,22
28577979,fMRI,Functional MRI,64,77,71.44,3.585,26,1,27
21957237,fMRI,Functional MRI,19,36,,,25,23,48
12672965,fMRI,Functional MRI,19,27,23.4,,2,6,8
20189356,fMRI,Functional MRI,22,59,36,10.9,4,18,22
24905072,fMRI,Functional MRI,38,65,50.25,2.13,18,8,26
29440534,fMRI,Functional MRI,8,11,9.35,0.85,32,44,76
24906136,fMRI,Functional MRI,,,24,4,5,7,12
22131970,fMRI,Functional MRI,18,30,22.93,,32,35,67
15029467,fMRI,Functional MRI,20,29,23.5,,5,15,20
23968842,EEG,Other,,,34.55,11.5,34,29,63
18752396,fMRI,Functional MRI,22,31,25,,5,5,10
26241685,fMRI,Functional MRI,,,,,,,225
23818133,fMRI,Functional MRI,,,26.3,3.9,10,10,20
27722829,fMRI,Functional MRI,18,65,48.93,7.97,69,21,90
11306631,fMRI,Functional MRI,18,43,,,,,25
22553030,fMRI,Functional MRI,,,26.31,1.27,7,6,13
28128347,fMRI,Functional MRI,19,25,22,,14,19,33
24431448,MRI (VBM),Structural MRI,,,9.03,1.7,22,23,45
19151376,fMRI,Functional MRI,19,41,26.1,,14,10,24
22956672,fMRI,Functional MRI,,,29.78,7.785,0,60,60
18380676,fMRI,Functional MRI,,,24.5,5.3,10,11,21
19027762,fMRI,Functional MRI,20,33,25,,13,15,28
21305668,fMRI & PET (ALE),Other,19.9,32.3,23.3,2.96,,,1060
23805096,MRI (T1),Structural MRI,20,62,44.5,,3,18,21
28544994,fMRI,Functional MRI,19,24,,,0,33,33
22815908,fMRI,Functional MRI,,,22,2.82,13,10,23
26793434,fMRI,Functional MRI,19,53,30.1,,4,25,29
28567009,fMRI,Functional MRI,,,60,6.38,9,5,1
29134612,fMRI,Functional MRI,49,72,,,18,15,33
20728550,fMRI,Functional MRI,,,26.3,4,7,13,20
26514581,fMRI,Functional MRI,,,26.45,2.35,7,8,15
11502262,fMRI,Functional MRI,18,40,,,9,5,14
27575531,fMRI,Functional MRI,19,31,24.45,3.05,32,13,45
26894279,fMRI,Functional MRI,22,70,43.2,13.7,8,10,18
16139817,MRI (VBM),Structural MRI,,,27,7.5,47,0,47
28974380,fMRI,Functional MRI,,,66.075,7.875,62,54,116
27047364,fMRI,Functional MRI,19,34,27.33,3.89,10,11,21
26142270,fMRI,Functional MRI,19,72,13.355,3.555,0,40,40
15800201,fMRI,Functional MRI,,,,,,,4
26288146,fMRI,Functional MRI,18,71,43,3,10,14,24
24828546,fMRI,Functional MRI,19,82,47.475,,29,11,40
19112507,fMRI,Functional MRI,18,35,,,,,18
17618089,fMRI,Functional MRI,18,50,42.1,11.8,7,5,12
23226488,fMRI,Functional MRI,23,55,28.8,8.3,0,16,16
15979899,fMRI,Functional MRI,,,26.5,3.8,7,8,15
26124129,fMRI,Functional MRI,,,26.6,,18,20,38
22617625,fMRI,Functional MRI,,,33.85,7.45,17,26,43
18400793,fMRI,Functional MRI,,,20.3,2,5,4,9
19629052,fMRI,Functional MRI,,,,,10,10,20
18771736,fMRI,Functional MRI,,,28,10,18,23,41
27566606,fMRI,Functional MRI,41,88,,,11,10,21
22406068,fMRI,Functional MRI,,,14.56,1.41,5,15,24
20621656,fMRI,Functional MRI,18,25,20.5,2,29,0,29
26892859,fMRI,Functional MRI,,,24.76,4.19,21,16,37
27703252,fMRI,Functional MRI,20,33,21.9,2.9,25,16,41
23712666,fMRI,Functional MRI,19,30,22,2.31,34,18,52
16108019,fMRI,Functional MRI,,,28.775,4.6,11,6,17
19675245,fMRI,Functional MRI,19,31,,,0,18,18
26590845,EEG,Other,,,42.21,13.79,21,18,39
21195388,fMRI,Functional MRI,7.75,13.15,10.65,1.65,31,9,40
26460014,fMRI,Functional MRI,18,,24.45,2.6,74,26,100
16971537,fMRI,Functional MRI,,,26.1,5.2,0,66,66
27312405,fMRI,Functional MRI,,,34.7,8.95,6,17,23
23558102,fMRI,Functional MRI,20,37,24.9,,10,10,20
22915491,fMRI,Functional MRI,,,44,4.55,20,22,42
28847492,fMRI,Functional MRI,,,29.5,8.25,23,19,42
24212504,fMRI,Functional MRI,7,9,7.8,0.7,40,34,74
23818974,fMRI,Functional MRI,13,28,21.3,3,19,0,19
10643729,Behavioral,Other,20,30,24.6,,13,7,20
16195470,fMRI,Functional MRI,,,32.3,8.4,0,13,13
20946059,fMRI,Functional MRI,19,41,24.3,,13,8,21
23558105,fMRI,Functional MRI,19,33,25.4,,7,9,16
25150553,fMRI,Functional MRI,,,27.5,6.2,18,13,31
19879281,fMRI,Functional MRI,,,22,3,19,16,35
16778890,fMRI,Functional MRI,,,,,,,14
17428684,fMRI,Functional MRI,,,45.05,9.15,22,12,34
18177843,fMRI,Functional MRI,21,31,25.5,,17,3,20
7846080,PET,PET,22,39,26.2,,6,4,10
22429244,fMRI,Functional MRI,,,,,,,21
27633395,fMRI,Functional MRI,8,16,13.3,2.81,30,26,56
10022496,PET,PET,21,28,24.1,2.6,6,6,12
17617656,EEG,Other,25,39,30,7.810249676,3,0,3
26270056,fMRI,Functional MRI,,,37.075,4.45,37,50,87
28987904,fMRI,Functional MRI,18,37,23,0.81,19,16,35
18809500,MRI (MTR),Structural MRI,,,29.1,5.8,,,36
26385540,fMRI,Functional MRI,,,24.1,2.79,13,16,29
23052545,fMRI,Functional MRI,18,60,37.7,,34,26,60
28827095,fMRI,Functional MRI,10,52,27.35,2.28,36,16,52
