PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
14689505,,,,,,,,,
19408112,,,,,,,,,
24269492,,,,,,,,,
24092642,,,,,,,,,
25101865,,,,,,,,,
14642475,,,,,,,,,
24523939,,,,,,,,,
17488205,,,,,,,,,
26576733,,,,,,,,,
19942229,,,,,,,,,
21613466,,,,,,,,,
27291493,,,,,,,,,
25100970,,,,,,,,,
20393055,,,,,,,,,
21993055,,,,,,,,,
26354924,,,,,,,,,
7472384,,,,,,,,,
21570470,,,,,,,,,
21390505,,,,,,,,,
11587893,,,,,,,,,
25862672,,,,,,,,,
29740302,,,,,,,,,
24953999,,,,,,,,,
29364891,,,,,,,,,
21421060,,,,,,,,,
16953876,,,,,,,,,
22378896,,,,,,,,,
12495525,,,,,,,,,
21554961,,,,,,,,,
22114283,,,,,,,,,
12725759,,,,,,,,,
12672965,,,,,,,,,
25911418,,,,,,,,,
21546221,,,,,,,,,
21167644,,,,,,,,,
27788143,,,,,,,,,
18308586,,,,,,,,,
19781939,,,,,,,,,
14638592,,,,,,,,,
16638121,,,,,,,,,
18786637,,,,,,,,,
22291626,,,,,,,,,
28254454,,,,,,,,,
28428213,,,,,,,,,
25327879,,,,,,,,,
18515149,,,,,,,,,
16842976,,,,,,,,,
19052540,,,,,,,,,
26439265,,,,,,,,,
16427321,,,,,,,,,
18234695,,,,,,,,,
18845172,,,,,,,,,
15306654,,,,,,,,,
19505583,,,,,,,,,
20044889,,,,,,,,,
21679770,,,,,,,,,
19490045,,,,,,,,,
24772075,,,,,,,,,
23416146,,,,,,,,,
14527576,,,,,,,,,
16290016,,,,,,,,,
24449008,,,,,,,,,
28647596,,,,,,,,,
22452559,,,,,,,,,
12725761,,,,,,,,,
18375064,,,,,,,,,
29777673,,,,,,,,,
18344173,,,,,,,,,
20808138,,,,,,,,,
21620934,,,,,,,,,
22386967,,,,,,,,,
22993425,,,,,,,,,
12880918,,,,,,,,,
14511835,,,,,,,,,
28636929,,,,,,,,,
25107854,,,,,,,,,
16651009,,,,,,,,,
21741081,,,,,,,,,
27170137,,,,,,,,,
25892594,,,,,,,,,
17150375,,,,,,,,,
21440642,,,,,,,,,
15979899,,,,,,,,,
20728549,,,,,,,,,
22847930,,,,,,,,,
26682467,,,,,,,,,
20920491,,,,,,,,,
24662574,,,,,,,,,
21941472,,,,,,,,,
29311879,,,,,,,,,
22807028,,,,,,,,,
